taskSize,taskType,priority,resourceLoad,actualTime
2,3,4,45.8,4.228
1,1,4,51.84,0.873
2,2,2,8.69,3.525
2,1,1,48.09,3.143
1,2,3,23.93,0.927
3,1,2,7.61,11.397
2,1,4,26.61,2.395
2,1,4,15.66,1.582
1,3,1,48.08,1.189
1,1,2,43.01,0.649
1,2,2,50.56,1.071
3,3,4,20.74,10.473
2,1,2,47.64,3.635
2,1,1,16.64,3.095
1,2,2,12.27,1.106
1,3,1,12.54,0.891
1,3,1,18.77,0.466
1,1,4,51.17,0.813
2,3,2,34.77,3.259
2,1,1,14.79,3.225
2,1,1,1.88,4.257
1,2,1,24.48,0.866
3,2,3,58.04,35.235
2,1,2,41.02,4.552
2,2,1,65.09,5.818
1,1,1,5.87,0.388
1,1,3,22.63,0.54
1,3,4,34.29,0.631
1,2,5,31.57,0.683
2,1,1,6.32,4.24
2,2,1,15.15,4.989
3,1,1,4.73,17.962
1,1,4,38.71,0.804
1,1,2,27.74,0.475
1,3,4,22.35,0.586
1,1,2,7.75,0.82
1,1,1,19.38,0.892
1,2,1,4.63,1.313
1,1,5,10.59,0.358
2,1,4,72.34,4.527
1,1,2,14.09,0.6
2,3,1,25.82,4.329
2,1,1,23.26,3.611
1,1,1,39.74,0.592
2,2,1,51.93,13.007
2,1,2,35.08,2.594
1,1,2,22.84,0.623
1,2,1,16.19,1.034
2,2,5,20.57,3.231
1,2,2,6.66,1.011
1,1,2,8.3,0.555
1,1,2,17.8,0.669
2,1,3,8.72,2.721
2,3,4,30.47,3.479
2,2,3,9.62,2.605
2,1,2,41.55,4.47
1,2,4,47.74,0.628
1,1,2,38.19,0.517
1,3,1,11.0,0.573
1,2,1,27.75,1.34
2,1,5,12.59,1.235
1,1,4,28.87,0.504
1,1,4,9.19,0.432
2,1,3,20.87,3.574
2,1,2,5.69,2.442
1,1,3,62.0,0.861
1,2,2,26.93,1.2
1,1,2,27.1,0.506
1,1,4,30.35,0.594
1,1,1,1.58,0.825
1,1,2,14.66,0.643
1,2,1,42.01,1.76
2,2,2,55.29,11.921
1,1,5,29.25,0.537
1,1,3,60.3,0.925
1,3,2,22.08,1.048
1,1,2,63.52,1.0
2,1,2,19.46,2.388
1,1,1,21.87,0.487
2,1,2,11.16,3.226
2,2,1,28.92,6.901
1,2,2,25.58,1.362
2,1,2,58.2,8.011
1,1,2,14.67,0.842
1,2,1,9.32,0.964
1,1,1,58.98,1.092
2,3,2,24.33,4.969
1,1,1,32.21,0.718
1,3,3,24.04,0.952
1,1,2,28.49,0.85
1,2,2,31.49,1.552
2,1,1,29.28,4.615
1,3,3,73.58,2.421
1,2,2,51.44,1.492
1,2,2,6.62,0.991
2,1,4,64.67,6.477
1,1,3,25.81,0.645
1,2,4,73.56,2.133
1,1,3,40.51,0.835
3,2,3,8.76,23.603
3,1,3,16.9,12.5
2,2,4,51.27,6.559
1,1,2,48.06,1.006
3,2,2,10.11,22.706
2,1,5,30.96,1.582
2,2,5,34.97,3.587
1,3,4,44.45,0.74
1,1,2,19.52,0.537
1,3,2,26.18,0.86
3,3,2,35.18,17.647
1,1,1,64.72,0.853
1,1,1,34.68,0.808
1,2,1,19.95,1.346
1,3,1,60.13,1.512
1,1,2,43.3,0.623
2,3,4,14.22,3.236
2,1,2,49.7,3.77
2,1,2,54.48,8.013
1,3,2,19.96,0.702
2,1,1,23.85,3.593
1,2,2,12.82,1.126
2,1,1,6.94,5.148
1,1,1,40.33,1.102
1,3,1,13.66,0.919
1,1,1,3.77,0.768
1,2,2,29.76,0.988
1,3,3,15.9,0.702
1,2,3,15.93,0.961
1,3,1,34.83,0.849
1,3,1,11.85,0.959
1,1,1,63.67,1.021
3,2,1,31.48,26.517
1,1,2,33.97,0.715
1,2,1,28.8,1.345
1,2,1,2.28,1.141
1,1,2,16.36,0.516
3,2,2,33.01,26.997
1,1,5,16.05,0.222
2,2,3,26.01,5.503
1,1,1,28.0,0.514
1,1,3,28.28,0.659
1,2,1,38.94,1.783
3,2,2,37.62,32.661
1,3,1,34.12,0.981
1,2,2,29.49,1.039
1,3,2,39.44,0.887
1,2,3,31.92,1.134
1,3,4,6.48,0.704
1,1,5,37.03,0.453
1,2,3,18.84,0.716
2,1,1,35.35,4.288
2,1,4,40.9,2.342
1,3,2,41.12,0.973
1,2,1,43.12,2.47
1,2,1,29.74,2.119
2,2,3,22.18,4.686
1,1,2,6.41,0.663
2,3,4,73.48,11.592
2,1,4,4.06,2.722
2,1,4,18.66,2.012
1,1,2,5.83,0.766
3,3,4,1.52,11.2
1,1,2,8.26,0.75
1,2,1,52.77,1.386
1,1,1,25.79,0.516
1,1,1,25.84,0.774
2,1,1,20.31,2.284
2,1,3,5.0,2.373
1,2,1,16.98,1.375
3,1,4,12.96,15.316
1,1,1,27.39,0.581
1,1,5,13.39,0.329
1,2,2,6.19,1.113
3,3,1,69.23,69.953
1,1,1,14.9,0.59
1,1,1,34.58,0.83
1,1,1,33.8,0.679
3,3,3,30.19,16.062
2,3,1,27.2,3.799
2,1,2,34.69,4.789
2,1,3,22.82,3.329
2,1,2,47.17,5.05
