taskSize,taskType,priority,resourceLoad,startupOverhead,actualTime
2,1,1,14.64,6.3,9.222
1,1,2,39.97,8.92,16.147
2,1,5,17.8,1.81,2.646
2,3,1,11.7,1.67,4.308
1,1,1,34.92,0.29,0.832
3,1,2,10.1,9.73,35.114
2,1,1,68.24,6.69,29.636
2,3,2,48.65,8.59,19.255
1,1,1,14.89,6.17,4.434
1,1,3,41.74,7.52,10.147
1,1,3,15.65,7.49,7.92
3,1,2,21.69,1.16,12.619
2,3,3,23.67,1.32,7.126
2,2,1,30.32,2.02,13.062
1,1,2,30.58,1.23,1.603
1,3,2,15.73,1.72,3.204
1,1,1,34.71,8.15,7.666
1,3,1,4.68,5.02,6.037
2,1,2,25.49,1.8,3.515
2,1,2,24.41,9.18,10.178
2,3,2,19.73,4.65,6.07
1,3,1,45.51,9.31,9.252
3,2,1,60.18,1.51,29.373
2,2,5,56.08,0.32,14.469
2,3,1,26.47,8.67,11.561
1,2,5,44.73,3.08,4.473
1,1,3,30.67,5.47,7.114
1,1,2,20.56,3.74,2.945
1,2,1,9.28,9.49,12.08
2,2,4,17.02,0.64,3.897
2,3,4,44.04,3.53,7.95
3,1,3,24.53,5.52,18.504
1,1,3,16.51,9.87,9.734
1,1,2,18.97,1.02,1.352
1,3,1,32.15,0.32,1.893
1,1,5,34.7,7.76,12.569
1,3,1,20.52,3.07,4.663
1,1,2,57.14,3.73,5.428
1,1,1,17.83,8.24,7.159
2,3,3,23.38,3.84,8.344
1,1,3,51.3,6.83,6.69
2,3,2,5.18,2.42,4.235
2,1,1,14.27,7.23,9.381
1,2,1,37.82,6.51,7.643
2,2,1,32.78,6.35,17.482
2,3,5,10.5,7.29,10.073
1,1,1,23.2,4.87,5.401
1,1,5,12.55,2.08,2.382
2,2,1,64.48,5.12,23.796
1,3,4,8.08,0.61,0.934
1,3,2,30.34,8.11,9.361
1,3,3,46.96,8.61,13.789
2,2,2,27.8,0.99,7.033
2,2,3,58.03,5.68,12.863
2,3,3,34.07,3.22,6.779
2,3,1,53.13,3.49,5.54
1,3,4,32.17,2.26,3.071
1,3,2,47.03,4.03,3.461
1,3,1,25.47,8.69,9.88
1,1,1,34.13,6.29,6.013
2,1,2,21.3,9.98,21.486
1,3,4,55.99,4.03,4.489
1,2,3,18.05,7.48,4.909
2,1,1,9.51,1.46,4.67
2,2,2,52.14,3.5,7.389
1,2,1,34.36,5.76,8.085
1,3,1,24.27,5.55,8.198
1,3,3,13.63,4.91,4.461
1,1,1,24.47,9.07,10.643
1,1,1,36.89,5.43,6.711
1,1,1,44.14,9.04,7.185
1,3,1,41.19,0.12,1.074
2,1,1,12.4,8.56,16.393
1,2,1,23.77,1.47,2.617
1,2,2,7.63,5.95,6.498
1,2,4,16.32,6.64,7.731
1,2,1,35.14,9.1,9.626
2,2,4,18.82,3.11,6.84
1,2,2,74.28,2.53,6.054
2,1,1,7.69,8.86,12.56
2,1,1,18.53,3.59,13.465
1,2,1,38.32,7.4,14.446
2,1,3,33.94,0.68,3.741
1,2,3,6.14,0.55,1.545
1,1,1,27.99,7.85,6.4
1,3,1,39.07,0.3,1.161
2,1,1,39.37,3.38,7.558
1,2,2,19.32,1.88,3.843
1,1,1,44.96,6.39,8.189
1,2,2,73.62,3.14,6.194
1,1,2,42.27,2.8,3.204
2,2,2,22.3,8.65,10.328
1,1,1,87.52,0.3,1.764
1,2,2,10.08,2.15,2.828
1,2,2,46.69,6.16,9.244
2,3,3,9.38,0.95,5.978
1,2,2,10.78,7.39,6.952
1,2,2,27.92,8.2,9.744
1,3,1,26.48,9.52,16.676
3,1,2,15.18,8.3,21.573
3,2,2,45.56,7.84,56.675
2,1,3,19.24,1.6,3.041
1,2,2,53.25,0.4,4.107
3,1,4,39.49,4.97,14.962
2,1,4,5.36,7.48,8.105
2,2,1,15.03,0.91,10.609
1,1,1,32.09,9.29,13.091
1,1,4,50.99,5.63,4.833
1,1,3,40.35,2.57,3.693
3,3,5,17.48,7.95,22.206
1,1,2,21.17,1.56,1.611
1,1,5,18.89,0.27,0.485
1,3,1,61.48,2.95,6.388
1,3,2,15.57,6.32,8.299
1,1,2,21.76,7.07,5.762
2,2,1,20.5,3.13,9.079
2,1,1,19.48,0.1,4.219
2,3,1,26.0,5.98,11.099
1,1,1,22.69,5.1,5.351
2,1,4,17.57,4.68,5.724
1,1,5,11.53,5.86,6.992
2,2,4,15.75,3.77,7.568
1,1,5,40.93,9.16,9.311
1,2,3,32.84,8.9,10.277
1,1,4,10.84,5.58,7.389
1,2,1,30.22,3.18,2.625
1,3,1,32.17,2.15,2.726
1,1,4,19.68,5.43,6.386
1,1,2,21.38,7.3,8.326
1,1,3,15.86,5.1,8.984
1,2,2,33.8,9.45,11.762
3,1,1,10.77,3.07,25.087
1,2,1,50.24,2.05,5.068
1,2,3,10.05,6.4,9.434
1,2,2,15.78,3.49,4.349
1,2,1,28.83,4.32,4.177
3,1,2,14.18,8.15,35.307
1,1,2,13.59,2.51,3.154
2,2,2,43.96,5.82,12.341
1,1,2,7.12,9.0,7.639
1,2,2,24.25,2.32,4.106
1,3,4,24.93,7.12,3.778
3,1,2,30.7,4.74,13.35
1,1,5,32.41,3.84,2.634
1,1,3,8.32,3.05,2.736
1,1,4,17.36,3.21,3.373
1,3,3,21.64,7.06,9.215
1,3,2,21.8,6.37,6.727
1,1,2,53.48,0.19,1.544
1,3,2,33.09,5.89,12.788
2,1,1,25.63,6.6,10.875
2,3,1,36.17,6.32,15.619
1,3,1,65.97,5.44,9.662
1,1,3,23.56,1.71,2.508
1,2,1,12.56,4.6,4.3
2,2,2,48.12,2.66,10.343
1,1,1,18.97,2.5,2.568
2,1,1,2.5,5.97,10.084
2,2,2,46.74,1.73,10.429
2,1,4,78.81,3.72,7.851
1,1,1,23.87,7.33,9.677
3,1,4,24.07,7.68,17.164
1,2,1,32.31,8.88,11.39
1,1,2,41.87,8.12,6.228
1,2,1,36.78,1.6,1.942
1,1,1,16.7,2.67,4.802
2,1,1,55.81,4.35,14.34
2,2,1,21.11,8.45,16.697
1,1,3,3.95,0.22,0.606
3,2,2,64.91,7.79,41.351
1,1,1,15.55,8.48,6.677
1,2,4,30.02,5.72,6.363
1,1,2,62.17,0.62,1.997
3,3,1,15.94,5.61,23.73
1,1,2,50.28,3.14,6.627
1,3,1,31.15,3.19,2.271
1,1,3,27.97,3.81,5.448
3,1,2,14.85,0.62,14.354
2,2,1,26.72,2.36,9.032
2,1,1,21.23,5.16,4.161
2,1,1,24.23,3.5,5.8
2,3,2,23.22,8.1,8.884
1,2,2,29.93,8.58,13.957
1,2,5,16.6,1.06,1.473
2,3,1,19.26,8.3,7.938
2,1,1,34.97,9.4,14.645
1,1,1,34.18,3.44,5.582
1,3,1,52.37,3.73,6.338
2,1,2,4.32,5.84,8.638
1,1,5,37.17,3.45,4.841
3,1,3,31.52,9.82,17.999
1,1,1,33.76,7.1,8.557
1,1,4,4.6,0.33,0.829
2,1,3,55.98,5.21,9.473
1,2,1,25.07,1.85,2.826
1,2,4,30.29,5.66,5.034
1,3,3,8.68,7.62,7.208
2,1,3,16.8,4.31,8.956
1,1,2,16.05,0.48,0.902
1,2,1,43.33,4.09,5.083
2,1,3,48.64,3.21,8.585
3,1,2,19.97,2.52,12.12
1,2,5,21.96,2.86,2.851
1,2,1,25.14,1.76,1.871
1,1,1,25.06,9.77,18.214
1,2,3,14.43,6.31,6.682
1,2,2,9.74,0.82,2.132
2,3,2,47.06,7.47,25.878
1,1,3,18.42,3.04,2.551
1,2,3,43.77,5.61,6.601
2,2,2,10.8,8.21,11.738
1,1,1,17.57,5.63,5.803
1,2,2,32.46,1.86,3.109
2,2,2,24.27,9.41,21.7
2,1,3,18.6,6.19,10.156
2,1,2,48.18,8.99,22.496
1,1,2,10.89,3.39,4.054
1,2,1,24.42,4.36,4.855
3,1,1,31.38,5.43,32.231
1,2,1,33.89,0.4,1.522
1,1,2,43.56,5.56,6.508
1,2,3,20.06,6.77,8.887
2,2,5,24.46,3.86,9.189
3,2,2,22.84,5.27,31.393
1,2,3,44.98,7.5,11.045
3,1,2,15.76,9.75,20.41
1,1,2,43.03,1.41,1.981
1,2,2,11.79,9.38,11.75
2,1,2,11.13,4.28,7.216
1,2,2,14.95,3.03,3.475
1,2,4,36.51,6.2,9.208
1,3,2,19.34,4.16,5.209
3,1,1,11.96,9.13,17.74
1,2,2,17.02,8.08,10.149
3,1,5,18.89,9.82,21.16
2,3,1,31.29,2.48,7.3
1,2,5,28.54,0.91,1.732
2,2,5,40.53,8.38,17.887
1,2,2,38.51,8.62,5.935
1,1,1,18.8,7.87,10.603
2,2,1,2.06,0.42,3.791
2,3,1,21.65,3.3,6.483
1,1,1,34.81,0.3,0.651
1,3,3,23.59,4.16,7.044
2,3,4,15.22,1.1,3.649
2,3,1,27.19,9.93,14.552
2,3,2,39.12,3.84,7.897
1,1,2,40.14,3.88,4.418
1,2,1,40.42,6.75,7.953
1,1,2,27.12,9.1,12.363
2,2,4,18.79,0.23,4.511
2,1,2,37.68,6.85,8.357
1,3,1,28.58,4.04,3.14
1,1,2,49.23,1.87,4.035
1,1,1,47.71,0.81,2.056
2,1,4,23.04,8.04,9.571
2,2,4,38.52,8.63,18.3
1,1,1,7.92,6.55,11.638
1,1,2,12.28,8.17,8.839
1,1,3,39.3,4.11,7.091
1,1,2,44.71,0.33,1.156
2,3,2,12.35,8.88,19.146
1,1,5,12.54,8.56,9.179
1,1,1,5.61,4.4,4.622
3,1,2,60.99,2.14,45.025
1,1,1,34.7,3.14,4.092
1,1,1,12.46,4.05,4.761
1,1,4,33.54,8.83,11.902
1,1,3,16.14,0.97,1.453
1,1,2,6.86,9.76,7.077
1,1,1,21.94,8.86,8.763
1,2,4,78.74,7.99,7.861
1,1,1,38.33,8.65,7.34
1,2,2,36.08,4.6,7.982
2,2,1,11.66,6.76,11.37
1,3,2,20.01,1.86,2.354
1,1,2,54.17,2.6,3.467
1,2,1,31.52,6.13,8.235
2,3,2,13.1,4.39,9.169
2,3,2,51.4,9.21,15.924
1,3,2,38.57,3.03,4.173
1,1,2,9.19,1.26,1.419
1,3,4,14.97,7.25,8.793
1,3,1,49.36,1.92,2.33
1,1,1,22.95,2.74,4.614
1,1,1,50.17,7.32,7.612
1,3,1,55.76,2.09,2.269
1,1,2,27.63,5.21,6.224
1,2,1,24.64,3.97,6.419
1,1,1,4.44,6.28,6.458
2,2,1,19.44,8.97,17.743
1,1,2,12.1,1.26,2.56
3,2,3,22.23,7.78,33.621
1,2,2,36.8,9.58,7.458
2,3,5,17.22,1.82,4.159
3,1,1,10.01,3.36,17.118
3,1,2,28.89,7.13,13.446
2,1,1,25.32,6.97,7.344
2,1,3,21.72,8.91,18.354
2,3,1,49.29,8.84,13.482
