taskSize,taskType,priority,resourceLoad,startupOverhead,actualTime
2,3,4,45.8,7.71,10.942
1,1,4,51.84,9.24,7.745
2,2,2,8.69,6.04,9.142
2,1,1,48.09,1.22,5.277
1,2,3,23.93,5.35,3.729
3,1,2,7.61,8.2,22.811
2,1,4,26.61,6.33,8.438
2,1,4,15.66,7.06,14.863
1,3,1,48.08,7.7,11.209
1,1,2,43.01,2.98,2.894
1,2,2,50.56,0.96,2.31
3,3,4,20.74,7.14,17.088
2,1,2,47.64,0.35,4.497
2,1,1,16.64,9.25,16.344
1,2,2,12.27,5.32,8.37
1,3,1,12.54,4.03,4.371
1,3,1,18.77,1.34,2.431
1,1,4,51.17,8.78,13.468
2,3,2,34.77,7.11,8.078
2,1,1,14.79,0.55,4.282
2,1,1,1.88,3.79,6.881
1,2,1,24.48,2.65,3.954
3,2,3,58.04,7.49,38.965
2,1,2,41.02,3.33,5.57
2,2,1,65.09,1.55,10.513
1,1,1,5.87,9.59,8.394
1,1,3,22.63,8.45,10.763
1,3,4,34.29,1.31,1.719
1,2,5,31.57,1.36,1.452
2,1,1,6.32,0.67,4.704
2,2,1,15.15,0.33,4.234
3,1,1,4.73,8.49,26.612
1,1,4,38.71,6.16,4.606
1,1,2,27.74,2.88,2.559
1,3,4,22.35,7.24,7.004
1,1,2,7.75,8.29,10.067
1,1,1,19.38,7.56,8.231
1,2,1,4.63,1.28,2.384
1,1,5,10.59,9.72,9.629
2,1,4,72.34,4.45,7.879
1,1,2,14.09,3.86,3.764
2,3,1,25.82,8.97,18.057
2,1,1,23.26,4.04,7.068
1,1,1,39.74,2.72,2.473
2,2,1,51.93,6.43,9.199
2,1,2,35.08,4.79,10.485
1,1,2,22.84,4.55,3.901
1,2,1,16.19,3.6,5.619
2,2,5,20.57,8.79,10.42
1,2,2,6.66,0.62,1.701
1,1,2,8.3,1.47,1.504
1,1,2,17.8,6.37,8.992
2,1,3,8.72,1.79,3.647
2,3,4,30.47,0.46,4.33
2,2,3,9.62,1.82,4.79
2,1,2,41.55,4.16,14.249
1,2,4,47.74,2.51,3.015
1,1,2,38.19,7.85,6.069
1,3,1,11.0,6.07,7.749
1,2,1,27.75,7.11,9.442
2,1,5,12.59,5.89,6.804
1,1,4,28.87,0.17,0.868
1,1,4,9.19,4.86,4.63
2,1,3,20.87,3.91,7.911
2,1,2,5.69,2.59,5.641
1,1,3,62.0,4.69,3.618
1,2,2,26.93,3.65,3.391
1,1,2,27.1,5.7,11.587
1,1,4,30.35,1.77,2.684
1,1,1,1.58,8.72,8.285
1,1,2,14.66,7.96,9.453
1,2,1,42.01,4.66,8.266
2,2,2,55.29,9.07,8.481
1,1,5,29.25,5.43,5.387
1,1,3,60.3,3.18,4.857
1,3,2,22.08,1.97,2.714
1,1,2,63.52,0.1,1.1
2,1,2,19.46,5.65,11.223
1,1,1,21.87,7.68,8.271
2,1,2,11.16,7.46,9.208
2,2,1,28.92,4.5,9.518
1,2,2,25.58,0.69,2.363
2,1,2,58.2,6.54,18.54
1,1,2,14.67,8.49,7.894
1,2,1,9.32,8.33,8.523
1,1,1,58.98,9.37,13.871
2,3,2,24.33,5.43,10.44
1,1,1,32.21,3.89,4.541
1,3,3,24.04,2.31,3.054
1,1,2,28.49,8.89,12.26
1,2,2,31.49,1.96,2.502
2,1,1,29.28,4.34,7.979
1,3,3,73.58,3.04,3.815
1,2,2,51.44,7.0,5.32
1,2,2,6.62,9.5,11.517
2,1,4,64.67,2.91,6.238
1,1,3,25.81,5.2,7.531
1,2,4,73.56,3.53,4.599
1,1,3,40.51,6.67,5.986
3,2,3,8.76,1.8,27.829
3,1,3,16.9,7.27,13.459
2,2,4,51.27,2.85,12.798
1,1,2,48.06,5.08,5.535
3,2,2,10.11,1.61,23.652
2,1,5,30.96,9.48,22.338
2,2,5,34.97,0.72,4.205
1,3,4,44.45,1.73,0.897
1,1,2,19.52,2.77,4.275
1,3,2,26.18,6.51,8.523
3,3,2,35.18,0.56,13.17
1,1,1,64.72,5.6,11.913
1,1,1,34.68,5.62,8.397
1,2,1,19.95,2.06,3.566
1,3,1,60.13,7.74,10.229
1,1,2,43.3,1.17,1.743
2,3,4,14.22,1.41,4.685
2,1,2,49.7,0.72,7.367
2,1,2,54.48,4.85,6.134
1,3,2,19.96,0.67,1.365
2,1,1,23.85,9.52,7.263
1,2,2,12.82,5.6,4.837
2,1,1,6.94,3.02,6.264
1,1,1,40.33,8.49,13.108
1,3,1,13.66,0.26,1.057
1,1,1,3.77,1.33,2.023
1,2,2,29.76,1.05,2.571
1,3,3,15.9,0.44,1.017
1,2,3,15.93,5.6,6.665
1,3,1,34.83,5.83,5.671
1,3,1,11.85,0.31,1.26
1,1,1,63.67,5.14,5.359
3,2,1,31.48,0.71,20.074
1,1,2,33.97,6.62,8.009
1,2,1,28.8,2.94,6.252
1,2,1,2.28,1.8,2.226
1,1,2,16.36,8.97,8.171
3,2,2,33.01,0.14,36.474
1,1,5,16.05,2.71,2.764
2,2,3,26.01,2.78,10.868
1,1,1,28.0,2.86,2.318
1,1,3,28.28,3.22,2.87
1,2,1,38.94,4.24,5.052
3,2,2,37.62,9.87,52.19
1,3,1,34.12,3.54,6.146
1,2,2,29.49,8.07,9.519
1,3,2,39.44,0.51,1.507
1,2,3,31.92,7.71,6.943
1,3,4,6.48,7.92,9.704
1,1,5,37.03,0.33,0.774
1,2,3,18.84,8.87,7.03
2,1,1,35.35,0.71,5.854
2,1,4,40.9,7.6,7.625
1,3,2,41.12,8.53,9.878
1,2,1,43.12,6.5,6.502
1,2,1,29.74,6.13,6.339
2,2,3,22.18,7.63,14.338
1,1,2,6.41,5.59,5.817
2,3,4,73.48,4.73,10.509
2,1,4,4.06,0.15,2.223
2,1,4,18.66,7.04,11.871
1,1,2,5.83,8.47,8.209
3,3,4,1.52,7.44,17.313
1,1,2,8.26,9.03,8.163
1,2,1,52.77,1.28,2.331
1,1,1,25.79,7.0,6.318
1,1,1,25.84,5.01,3.096
2,1,1,20.31,4.38,8.44
2,1,3,5.0,0.81,3.781
1,2,1,16.98,4.25,5.654
3,1,4,12.96,2.1,11.929
1,1,1,27.39,7.66,10.811
1,1,5,13.39,0.46,0.796
1,2,2,6.19,9.89,11.362
3,3,1,69.23,6.82,100.242
1,1,1,14.9,9.74,12.381
1,1,1,34.58,4.17,4.733
1,1,1,33.8,7.3,7.923
3,3,3,30.19,5.51,25.144
2,3,1,27.2,1.48,6.058
2,1,2,34.69,5.41,4.233
2,1,3,22.82,1.6,5.47
2,1,2,47.17,9.76,16.123
1,1,3,8.14,4.52,4.707
1,1,1,39.93,7.14,12.618
2,1,3,37.11,2.94,6.355
2,1,2,50.72,7.54,12.171
1,1,1,23.22,3.4,2.756
1,1,3,27.16,6.0,7.556
2,1,2,18.43,4.69,6.864
1,1,1,37.71,5.96,5.865
3,3,3,36.42,6.84,23.394
1,1,5,43.47,3.33,4.503
1,1,2,1.9,4.07,6.234
2,3,3,42.86,3.45,9.374
1,1,4,16.82,7.34,9.838
1,1,5,4.11,1.46,1.449
1,2,1,16.84,7.96,12.8
2,1,2,47.94,4.05,9.81
1,2,1,15.25,8.67,9.331
